epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8600583076477051,0.0010000000474974513,0.320056676864624,0.9557109475135803,0.1134689524769783
1,0.9527696967124939,0.0010000000474974513,0.12378517538309097,0.9650349617004395,0.0891922265291214
2,0.9760932922363281,0.0010000000474974513,0.06083007529377937,0.9510489702224731,0.15357705950737
3,0.9830904006958008,0.0010000000474974513,0.0558047778904438,0.9696969985961914,0.0822441503405571
4,0.9830904006958008,0.0010000000474974513,0.03948493301868439,0.9860140085220337,0.04744741693139076
5,0.9900874495506287,0.0010000000474974513,0.02840406261384487,0.9766899943351746,0.07254894822835922
6,0.9988338351249695,0.0010000000474974513,0.004103392828255892,0.9650349617004395,0.11828542500734329
7,0.9924198389053345,0.0010000000474974513,0.019661718979477882,0.9836829900741577,0.037460312247276306
8,0.993586003780365,0.0010000000474974513,0.023892981931567192,0.9883449673652649,0.02895365096628666
9,1.0,0.0010000000474974513,0.0005307688843458891,0.9930070042610168,0.009781129658222198
10,0.9941691160202026,0.0010000000474974513,0.013993770815432072,0.9836829900741577,0.07328435033559799
11,0.9906705617904663,0.0010000000474974513,0.029394522309303284,0.9790209531784058,0.07065850496292114
12,0.9947521686553955,0.0010000000474974513,0.018732842057943344,0.9627039432525635,0.09189682453870773
13,0.9970845580101013,0.0010000000474974513,0.006486778613179922,0.9883449673652649,0.03590882197022438
14,0.9982507228851318,0.0010000000474974513,0.004329150542616844,0.9720279574394226,0.12930288910865784
15,1.0,0.0005000000237487257,0.0006547487573698163,0.9720279574394226,0.12623292207717896
16,1.0,0.0005000000237487257,0.0002022575499722734,0.9790209531784058,0.10197732597589493
17,1.0,0.0005000000237487257,5.2901905291946605e-05,0.9836829900741577,0.09416992217302322
18,0.9988338351249695,0.0005000000237487257,0.005479755345731974,0.9766899943351746,0.13175489008426666
19,0.9982507228851318,0.0005000000237487257,0.004756527487188578,0.9766899943351746,0.1414504200220108
